ICAO,Latitude,Longitude,Elevation
HSKA,15.46666667,36.38333333,500
HSKI,13.16666667,32.66666667,381
HSLI,11,29.71666667,499
HSMD,4.916666667,29.46666667,749
HSMK,6.783333333,29.68333333,418
HSNA,8.616666667,33.06666667,399
HSND,16.68333333,33.41666667,360
HSNL,12.05,24.86666667,658
HSNR,13.55,33.61666667,418
HSOB,13.16666667,30.21666667,574
HSPI,6.783333333,33.11666667,510
HSPN,19.41666667,37.21666667,138
HSRJ,8.466666667,25.66666667,545
HSRN,11.75,32.76666667,282
HSSJ,4.866666667,31.6,457
HSSM,9.55,31.63333333,388
HSSP,19.56666667,37.21666667,2
HSSS,15.58333333,32.53333333,380
HSSW,21.81666667,31.46666667,183
HSTR,4.416666667,32.56666667,624
HSYA,4.566666667,28.38333333,649
HSZA,12.9,23.46666667,900
HTAR,-3.366666667,36.63333333,1387
HTBU,-1.316666667,31.81666667,1137
HTDA,-6.883333333,39.2,55
HTDO,-6.166666667,35.76666667,1120
HTIR,-7.666666667,35.75,1428
HTKA,-4.866666667,29.66666667,885
HTKI,-8.916666667,39.51666667,18
HTKJ,-3.416666667,37.06666667,896
HTMB,-8.916666667,33.46666667,1707
HTMG,-6.816666667,37.63333333,526
HTMO,-4.866666667,38.26666667,511
HTMS,-3.35,37.31666667,831
HTMT,-10.26666667,40.16666667,113
HTMU,-1.5,33.78333333,1147
HTMW,-2.466666667,32.91666667,1140
HTNA,-10.33333333,38.75,465
HTPE,-5.25,39.81666667,25
HTSE,-4.066666667,37.71666667,872
HTSO,-10.66666667,35.56666667,1067
HTSU,-7.95,31.66666667,1804
HTSY,-3.5,33,1100
HTTB,-5.066666667,32.81666667,1190
HTTG,-5.066666667,39.06666667,35
HTZA,-6.216666667,39.21666667,15
HUAR,3.033333333,30.91666667,1211
HUEN,0.033333333,32.45,1155
HUFP,0.666666667,30.26666667,1533
HUGU,2.75,32.31666667,1105
HUJI,0.45,33.16666667,1173
HUKB,-1.25,29.96666667,1869
HUKS,0.166666667,30.1,961
HULI,2.25,32.88333333,1091
HUMA,-0.55,30.6,1413
HUMI,1.666666667,31.71666667,1147
HUMO,2.516666667,34.63333333,1280
HUSO,1.716666667,33.61666667,1123
HUTO,0.666666667,34.16666667,1171
K01M,34.5,-88.2,176
K01R,31.13333333,-92.56666667,67
K01T,28.13333333,-94.4,30
K03Y,48.76666667,-96.95,250
K04V,38.1,-106.1666667,2385
K04W,46.01666667,-92.9,311
K05F,31.41666667,-97.8,276
K05U,39.6,-116,1816
K06D,48.88333333,-99.61666667,556
K06U,41.98333333,-114.65,1589
K07G,42.56666667,-84.81666667,272
K07S,47.96666667,-117.4333333,668
K08D,48.3,-102.4,684
K09G,42.56666667,-84.41666667,280
K0A8,32.93333333,-87.08333333,77
K0A9,36.36666667,-82.16666667,486
K0CO,39.8,-105.7666667,3807
K0D1,42.35,-86.25,203
K0D8,44.98333333,-99.95,629
K0E0,34.98333333,-106,1890
K0E4,34.21666667,-111.3166667,1498
K0F2,33.6,-97.78333333,336
K0J4,31.05,-86.31666667,96
K0R3,29.98333333,-92.08333333,5
K0V1,43.73333333,-103.6166667,1725
K0VG,36.65,-83.21666667,430
K0Y7,40.63333333,-93.9,346
K11J,31.4,-84.9,65
K11R,30.21666667,-96.36666667,94
K12C,41.88333333,-89.06666667,238
K12N,41.01666667,-74.73333333,177
K13A,31.41666667,-110.85,1198
K13K,37.85,-96.3,369
K14Y,45.9,-94.86666667,406
K17N,39.7,-75.03333333,49
K17W,46.45,-95.2,415
K17Y,46.61666667,-93.31666667,374
K19A,34.18333333,-83.56666667,290
K19D,45.86666667,-93.26666667,309
K1A5,35.21666667,-83.41666667,616
K1A6,36.61666667,-83.73333333,352
K1B1,42.28333333,-73.71666667,60
K1B6,41.91666667,-71.51666667,35
K1B7,29.35,-89.43333333,1
K1B8,43.45,-75.35,482
K1D1,45.23333333,-96.56666667,341
K1D3,43.4,-98.83333333,493
K1D7,45.3,-97.51666667,566
K1F0,34.15,-97.11666667,257
K1F9,33.18333333,-97.83333333,260
K1G2,44.75,-95.55,319
K1G7,28.78333333,-89.05,18
K1H2,39.06666667,-88.53333333,179
K1II,39.33333333,-86.03333333,214
K1J0,30.85,-85.6,26
K1K5,37,-101.8833333,1102
K1M4,34.28333333,-87.6,284
K1M5,36.6,-86.48333333,250
K1N7,40.96666667,-75,113
K1O5,41.73333333,-122.5333333,771
K1P1,43.78333333,-71.75,154
K1R7,31.6,-90.41666667,149
K1S3,46.26666667,-106.6166667,832
K1S4,45.76666667,-122.8666667,14
K1V4,44.41666667,-72.01666667,210
K1V6,38.43333333,-105.1,1658
K1Y7,32.5,-114.4,231
K1YT,46.66666667,-120.45,438
K20U,46.93333333,-103.9833333,840
K20V,40.05,-106.3666667,2259
K21D,45,-92.85,285
K22G,41.35,-82.18333333,241
K25R,26.45,-98.13333333,24
K25T,26.93333333,-94.68333333,10
K26N,39.26666667,-74.6,2
K27A,34.1,-82.81666667,184
K27D,44.73333333,-96.26666667,363
K27U,45.16666667,-113.9,1210
K28K,27.88333333,-91.5,1
K28T,29.7,-93.95,5
K29D,41.15,-81.16666667,418
K29G,41.21666667,-81.25,365
K29J,34.98333333,-81.05,202
K2B2,42.81666667,-70.91666667,6
K2B4,41.53333333,-71.28333333,52
K2B6,42.7,-73.18333333,199
K2B7,44.93333333,-69.61666667,107
K2C2,32.36666667,-106.4666667,1244
K2C8,48.78333333,-97.63333333,272
K2D5,46.16666667,-98.08333333,407
K2DP,35.68333333,-75.9,3
K2F1,35.2,-100.25,1000
K2F8,32.75,-91.88333333,51
K2G4,39.58333333,-79.33333333,894
K2G5,42.1,-83.16666667,180
K2G6,41.61666667,-80.2,428
K2GL,29.41666667,-90.3,3
K2I0,37.35,-87.4,134
K2I4,39.9,-83.13333333,290
K2I5,40.3,-88.15,225
K2I8,40.01666667,-82.46666667,268
K2J9,30.6,-84.55,69
K2K3,37.58333333,-101.7333333,1013
K2M2,35.23333333,-87.25,286
K2M8,35.28333333,-89.93333333,75
K2P3,45.36666667,-94.75,360
K2PJ,33.85,-80.48333333,68
K2R8,27.81666667,-97.08333333,2
K2SL,44.11666667,-124.1333333,121
K2V5,40.1,-102.25,1118
K2V9,38.6,-106.9166667,2349
K2W6,38.31666667,-76.55,44
K2WX,45.6,-103.55,915
K31F,32.68333333,-102.65,1010
K33V,40.75,-106.2833333,2484
K36U,40.48333333,-111.4333333,1718
K37C,28.36666667,-93.5,30
K37W,35.36666667,-78.71666667,60
K39N,40.4,-74.66666667,39
K3A1,34.26666667,-86.85,294
K3A6,34.36666667,-118.5666667,427
K3B1,45.46666667,-69.55,427
K3B2,42.1,-70.66666667,4
K3B6,28.23333333,-91.68333333,1
K3CL,46.23333333,-124.0166667,9
K3DU,46.66666667,-113.15,1202
K3FM,43.43333333,-86,236
K3FU,45.03333333,-99.11666667,478
K3HE,42.61666667,-83.96666667,293
K3HT,46.41666667,-109.8166667,1268
K3I2,38.91666667,-82.1,196
K3J7,33.6,-83.13333333,206
K3K3,38,-101.75,1013
K3K7,38.45,-101.35,1007
K3KM,37.75,-97.21666667,433
K3LC,40.16666667,-89.33333333,182
K3LF,39.16666667,-89.66666667,210
K3M3,35.05,-85.01666667,262
K3MW,40.45,-106.75,3241
K3N6,40.33333333,-74.35,27
K3OI,40.61666667,-93.95,342
K3R1,28.96666667,-95.86666667,14
K3R5,29.71666667,-98.05,195
K3R7,30.25,-92.66666667,7
K3RN,44.68333333,-84.73333333,353
K3S2,45.25,-122.7666667,60
K3SE,43.16666667,-95.15,404
K3SM,39.58333333,-85.8,245
K3SQ,38.85,-90.5,135
K3T1,32.75,-95.5,132
K3T5,29.9,-96.95,99
K3TH,47.6,-115.3666667,725
K3V8,29.11666667,-89.2,80
K3WO,44.78333333,-88.56666667,248
K40B,46.61666667,-69.51666667,314
K40G,35.63333333,-112.15,1830
K40J,30.06666667,-83.56666667,13
K40N,39.98333333,-75.86666667,201
K41I,28.46666667,-91.78333333,31
K42J,29.85,-82.05,60
K42V,40.05,-101.5333333,953
K43F,45.1,-94.5,347
K43M,39.71666667,-77.41666667,275
K44W,35.15,-75.7,5
K45J,34.88333333,-79.76666667,109
K46D,47.45,-99.15,490
K47A,34.31666667,-84.41666667,372
K47B,44.91666667,-67,24
K47N,40.51666667,-74.6,26
K48I,38.68333333,-80.65,397
K49B,44.41666667,-103.3833333,989
K49J,32.21666667,-80.7,6
K4A6,34.68333333,-86,198
K4A9,34.46666667,-85.71666667,267
K4BK,42.03333333,-124.2666667,24
K4BL,37.61666667,-109.4666667,1840
K4BM,39.05,-105.5166667,3438
K4BQ,45.43333333,-105.4,922
K4C0,29.78333333,-93.18333333,1
K4CO,29.78333333,-93.18333333,1
K4CR,34.1,-105.6666667,1981
K4DG,42.75,-105.3833333,1477
K4F4,32.7,-94.95,127
K4FC,39.95,-105.8333333,2609
K4G6,42.38333333,-77.68333333,372
K4HV,38.36666667,-110.7166667,1314
K4I3,40.33333333,-82.53333333,363
K4LJ,38.08333333,-102.6166667,1103
K4LW,42.21666667,-120.35,1455
K4M9,36.4,-90.65,90
K4MR,34.3,-103.8,1326
K4MY,34.98333333,-106,1890
K4N1,41.13333333,-74.35,241
K4O4,33.91666667,-94.86666667,144
K4R4,30.46666667,-87.88333333,28
K4R9,30.26666667,-88.13333333,2
K4S1,42.41666667,-124.4166667,5
K4SL,35.78333333,-107.1666667,2106
K4SU,35.33333333,-117.1,962
K4V0,40.1,-108.7666667,1608
K4V5,37.28333333,-107.8666667,2012
K4X4,44.06666667,-98.53333333,471
K53Q,37.5,-122.5,49
K54J,30.73333333,-86.15,88
K54Y,45.7,-92.95,281
K55D,44.68333333,-84.73333333,353
K56N,40.46666667,-74.01666667,5
K5B0,41.75,-72.16666667,76
K5B2,43.05,-73.86666667,132
K5B3,41.06666667,-73.61666667,91
K5B5,42.88333333,-73.25,244
K5C1,29.71666667,-98.7,423
K5D3,43,-84.13333333,224
K5D8,42.25,-84.95,287
K5G9,41.73333333,-83.65,204
K5H4,47.78333333,-99.93333333,490
K5I3,37.46666667,-82.51666667,446
K5J0,44.38333333,-118.9666667,1127
K5M9,37.33333333,-88.11666667,199
K5R0,28.21666667,-93.75,26
K5R3,30.5,-97.96666667,376
K5R5,29.25,-96.15,31
K5R8,30.43333333,-93.46666667,24
K5SM,39.43333333,-107.3833333,3232
K5T5,32.08333333,-97.1,209
K5T6,31.88333333,-106.7,1253
K5W8,35.7,-79.5,188
K60S,45.61666667,-122.65,8
K60Y,43.98333333,-95.78333333,495
K62H,30.16666667,-96.98333333,148
K63S,48.53333333,-117.8666667,571
K65S,48.73333333,-116.3,713
K6A1,32.56666667,-84.25,203
K6A2,33.23333333,-84.26666667,292
K6A3,35.18333333,-83.85,518
K6B0,43.98333333,-73.1,149
K6B1,43.28333333,-70.91666667,100
K6B8,44.56666667,-72.01666667,363
K6E5,44.43333333,-97.55,527
K6K5,44.3,-121.5333333,966
K6R0,30.35,-89.81666667,8
K6R3,30.35,-95,46
K6R6,30.05,-102.2166667,701
K6R9,30.78333333,-98.66666667,336
K6S2,43.98333333,-124.1166667,16
K6S5,46.25,-114.1333333,1110
K6S8,45.7,-108.7666667,1072
K6T5,28.98333333,-95.31666667,2
K6V3,37.06666667,-81.8,809
K6V4,44,-102.25,857
K6V5,45.51666667,-102.4666667,851
K72C,39.6,-102.5666667,1280
K75S,48.46666667,-122.4166667,43
K76S,48.25,-122.6666667,59
K77M,42.31666667,-113.3166667,1375
K78D,43.46666667,-83.45,214
K78N,36.43333333,-79.85,211
K79J,31.31666667,-86.4,94
K7B2,42.26666667,-72.86666667,192
K7B5,28.08333333,-93.2,1
K7BM,38.78333333,-106.2166667,2995
K7D2,42.55,-83.18333333,222
K7F6,33.6,-95.06666667,134
K7F9,31.91666667,-98.6,423
K7G2,41.78333333,-80.7,276
K7L2,46.21666667,-100.25,543
K7LI,38.63333333,-112.2,1829
K7R1,29.26666667,-89.36666667,3
K7R2,29.21666667,-90.23333333,1
K7R3,29.68333333,-91.08333333,2
K7R4,29.76666667,-92.11666667,5
K7R5,29.76666667,-93.28333333,1
K7R8,28.3,-91.96666667,1
K7S1,45.53333333,-112.3,1456
K7TB,41.18333333,-75.41666667,585
K7W2,28.58333333,-92.46666667,1
K81V,44.26666667,-104.95,1301
K82V,41.15,-104.1333333,1570
K84D,44.98333333,-101.25,746
K85D,47.76666667,-93.65,411
K87D,44.01666667,-92.81666667,398
K87Q,35.66666667,-121.2833333,27
K88M,48.96666667,-115.0833333,814
K8A0,34.23333333,-86.25,315
K8A3,36.41666667,-85.31666667,419
K8B0,44.96666667,-70.7,554
K8B2,44.95,-71.31666667,678
K8B3,43.11666667,-72.8,345
K8B5,42.41666667,-72.06666667,178
K8D3,45.66666667,-96.98333333,354
K8D7,44.9,-97.71666667,547
K8K2,37.28333333,-98.05,445
K8S0,48.6,-113.1166667,1419
K8V3,43.38333333,-97.98333333,432
K8Y2,45.16666667,-93.85,295
K8Y8,46.26666667,-92.56666667,350
K90J,29.11666667,-81.56666667,33
K92Q,38.31666667,-123.05,3
K92S,42.83333333,-124.5666667,57
K96D,48.93333333,-97.9,290
K97M,45.88333333,-104.5333333,1068
K98D,44.7,-100.1,571
K99M,46.83333333,-96.66666667,280
K9A1,33.63333333,-83.85,247
K9A4,34.66666667,-87.35,179
K9B4,42.65,-71.86666667,363
K9B6,43,-68,150
K9B9,43.96666667,-69.71666667,21
K9BB,41.1,-114.9666667,1723
K9D1,43.21666667,-99.4,663
K9D7,48.48333333,-99.23333333,452
K9F2,29.1,-90.2,2
K9K4,38.78333333,-93.8,244
K9K7,38.75,-98.23333333,492
K9K8,37.66666667,-98.11666667,490
K9L2,34.96666667,-117.8666667,701
K9MN,44.01666667,-92.48333333,355
K9S2,48.8,-105.4333333,742
K9V6,43.16666667,-101.7166667,1004
K9V9,43.76666667,-99.31666667,519
K9W7,36.4,-76.01666667,5
KAAA,40.16666667,-89.33333333,182
KAAF,29.73333333,-85.03333333,5
KAAO,37.75,-97.21666667,434
KAAT,41.48333333,-120.5666667,1331
KABE,40.65,-75.45,114
KABH,38.75,-104.3,1840
KABI,32.41666667,-99.68333333,548
KABQ,35.05,-106.6166667,1618
KABR,45.45,-98.41666667,397
KABX,35.15,-106.8166667,1789
KABY,31.53333333,-84.2,58
KACB,44.98333333,-85.2,190
KACJ,32.11666667,-84.18333333,143
KACK,41.25,-70.06666667,16
KACP,30.75,-92.68333333,33
KACQ,44.06666667,-93.55,343
KACT,31.61666667,-97.23333333,151
KACV,40.98333333,-124.1,67
KACY,39.45,-74.56666667,23
KACZ,34.73333333,-78,30
KADC,46.45,-95.21666667,418
KADF,34.1,-93.06666667,56
KADG,41.86666667,-84.08333333,241
KADH,34.8,-96.66666667,308
KADM,34.28333333,-97.01666667,232
KADR,45.43333333,-97.93333333,453
KADS,32.96666667,-96.81666667,196
KADU,41.7,-94.91666667,392
KADW,38.81666667,-76.86666667,86
KAEG,35.13333333,-106.8,1779
KAEJ,38.81666667,-106.1166667,2422
KAEL,43.68333333,-93.36666667,383
KAEX,31.33333333,-92.56666667,27
KAFF,38.96666667,-104.8166667,2003
KAFJ,40.11666667,-80.26666667,361
KAFK,40.6,-95.85,354
KAFN,42.8,-72,313
KAFO,42.71666667,-110.95,1897
KAFP,35.01666667,-80.08333333,92
KAFW,32.96666667,-97.31666667,233
KAGC,40.35,-79.91666667,389
KAGR,27.65,-81.33333333,20
KAGS,33.36666667,-81.96666667,44
KAGZ,43.06666667,-98.3,451
KAHN,33.95,-83.33333333,244
KAHQ,41.23333333,-96.6,374
KAIA,42.05,-102.8,1196
KAIB,38.23333333,-108.5666667,1811
KAID,40.11666667,-85.61666667,280
KAIG,45.15,-89.11666667,464
KAIK,33.65,-81.68333333,161
KAIO,41.38333333,-95.03333333,360
KAIR,40.01666667,-80.81666667,430
KAIT,46.53333333,-93.66666667,367
KAIZ,38.1,-92.53333333,265
KAJG,38.61666667,-87.73333333,131
KAJL,43.66666667,-110.0333333,3161
KAJO,33.9,-117.6,163
KAJZ,38.78333333,-108.0666667,1583
KAKH,35.2,-81.15,243
KAKO,40.16666667,-103.2166667,1421
KAKQ,36.98333333,-77,34
KAKR,41.03333333,-81.46666667,363
KAL8,39.6,-100.1166667,734
KALB,42.75,-73.8,92
KALI,27.73333333,-98.01666667,53
KALK,31.6,-110.4333333,1453
KALM,32.81666667,-105.9666667,1279
KALN,38.88333333,-90.03333333,166
KALO,42.55,-92.4,264
KALR,33.36666667,-84.56666667,248
KALS,37.43333333,-105.8666667,2299
KALW,46.1,-118.2833333,363
KALX,32.91666667,-85.96666667,209
KALY,42.75,-73.8,88
KAMA,35.21666667,-101.7166667,1093
KAMG,31.53333333,-82.5,59
KAMN,43.31666667,-84.68333333,230
KAMW,41.98333333,-93.61666667,279
KAMX,25.61666667,-80.41666667,4
KANB,33.58333333,-85.85,183
KAND,34.5,-82.71666667,239
KANE,45.15,-93.21666667,278
KANJ,46.46666667,-84.36666667,218
KANK,38.53333333,-106.05,2293
KANQ,41.63333333,-85.08333333,303
KANW,42.56666667,-100,789
KAOH,40.7,-84.01666667,296
KAOO,40.3,-78.31666667,455
KAPA,39.56666667,-104.85,1775
KAPC,38.2,-122.2833333,13
KAPE,40.15,-82.58333333,453
KAPF,26.15,-81.76666667,3
KAPG,39.46666667,-76.16666667,18
KAPN,45.06666667,-83.56666667,210
KAPV,34.56666667,-117.1833333,934
KAPX,44.9,-84.71666667,446
KAPY,26.96666667,-99.25,129
KAQO,30.78333333,-98.66666667,336
KAQP,45.21666667,-96,311
KAQQ,29.73333333,-85.03333333,5
KAQR,34.4,-96.15,189
KAQV,31.4,-93.3,111
KAQW,42.7,-73.16666667,199
KARA,30.03333333,-91.88333333,18
KARB,42.21666667,-83.73333333,251
KARG,36.11666667,-90.91666667,83
KARL,41.6,-106.2166667,2179
KARM,29.25,-96.15,31
KARR,41.76666667,-88.48333333,215
KART,43.98333333,-76.03333333,100
KARV,45.91666667,-89.71666667,496
KARW,32.41666667,-80.63333333,4
KARX,43.81666667,-91.18333333,389
KASD,30.35,-89.81666667,9
KASE,39.23333333,-106.8666667,2354
KASG,36.16666667,-94.11666667,412
KASH,42.78333333,-71.51666667,61
KASJ,36.28333333,-77.16666667,21
KASL,32.51666667,-94.3,109
KASN,33.56666667,-86.05,162
KASP,44.45,-83.4,193
KAST,46.15,-123.8833333,3
KASW,41.26666667,-85.83333333,259
KASX,46.55,-90.91666667,251
KATL,33.63333333,-84.45,296
KATP,27.2,-90.03333333,62
KATR,33.36666667,-84.56666667,312
KATS,32.85,-104.4666667,1081
KATT,30.31666667,-97.76666667,201
KATW,44.26666667,-88.51666667,280
KATX,48.2,-122.5,151
KATY,44.9,-97.15,532
KAUB,32.6,-85.5,198
KAUD,29.93333333,-90.13333333,2
KAUG,44.31666667,-69.8,109
KAUH,40.88333333,-98,550
KAUM,43.66666667,-92.91666667,375
KAUN,38.95,-121.0833333,467
KAUO,32.61666667,-85.41666667,236
KAUS,30.18333333,-97.68333333,166
KAUW,44.93333333,-89.61666667,362
KAVC,36.68333333,-78.03333333,135
KAVK,36.76666667,-98.66666667,449
KAVL,35.43333333,-82.53333333,670
KAVP,41.33333333,-75.71666667,291
KAVX,33.4,-118.4166667,482
KAWG,41.26666667,-91.66666667,230
KAWH,41.66666667,-115.7666667,1902
KAWM,35.13333333,-90.23333333,65
KAWN,32.78333333,-97.43333333,198
KAWO,48.16666667,-122.1666667,42
KAXA,43.06666667,-94.26666667,372
KAXC,39.83333333,-88.85,207
KAXH,29.51666667,-95.48333333,21
KAXN,45.86666667,-95.4,433
KAXO,29.25,-89.96666667,2
KAXS,34.7,-99.33333333,437
KAXV,40.5,-84.3,279
KAXX,36.41666667,-105.2833333,2548
KAYE,42.56666667,-71.6,82
KAYS,31.25,-82.4,46
KAZC,36.96666667,-113.0166667,1486
KAZE,31.88333333,-82.65,78
KAZO,42.23333333,-85.55,272
KB20,43.98333333,-70.95,138
KB21,45.08333333,-70.21666667,270
KB23,40.6,-116.8666667,1381
KBAB,39.11666667,-121.4166667,34
KBAC,46.93333333,-98.01666667,684
KBAD,32.5,-93.66666667,51
KBAE,43.11666667,-88.28333333,206
KBAF,42.16666667,-72.71666667,83
KBAK,39.26666667,-85.9,200
KBAM,40.56666667,-116.9166667,1381
KBAN,38.35,-119.5166667,2057
KBAT,43.13333333,-102.1,1042
KBAX,43.78333333,-82.98333333,234
KBAZ,29.71666667,-98.05,195
KBBB,45.31666667,-95.65,317
KBBD,31.18333333,-99.31666667,557
KBBF,27.83333333,-96.01666667,36
KBBG,36.53333333,-93.2,397
KBBP,34.61666667,-79.73333333,45
KBBW,41.43333333,-99.63333333,776
KBBX,39.5,-121.6333333,53
KBCB,37.21666667,-80.41666667,650
KBCE,37.7,-112.15,2312
KBCK,44.25,-90.85,255
KBCT,26.38333333,-80.1,4
KBDE,48.73333333,-94.61666667,329
KBDF,41.15,-89.58333333,247
KBDG,37.58333333,-109.4833333,1789
KBDH,45.11666667,-95.13333333,247
KBDL,41.93333333,-72.68333333,60
KBDN,44.1,-121.2,1055
KBDR,41.16666667,-73.13333333,7
KBDU,40.03333333,-105.2333333,1612
KBEA,28.36666667,-97.78333333,82
KBED,42.46666667,-71.3,50
KBEH,42.13333333,-86.41666667,191
KBEL,44.8,-104.05,971
KBFD,41.8,-78.63333333,647
KBFF,41.86666667,-103.5833333,1203
KBFI,47.55,-122.3166667,4
KBFL,35.43333333,-119.05,151
KBFM,30.61666667,-88.06666667,20
KBFU,43.93333333,-105.45,1422
KBFW,47.25,-91.4,331
KBGD,35.7,-101.4,927
KBGE,30.96666667,-84.63333333,43
KBGF,35.18333333,-86.06666667,299
KBGM,42.21666667,-75.98333333,490
KBGR,44.8,-68.81666667,57
KBGS,32.21666667,-101.5166667,781
KBHB,44.45,-68.36666667,26
KBHK,46.35,-104.25,902
KBHM,33.56666667,-86.75,197
KBHX,40.5,-124.3,732
KBID,41.16666667,-71.58333333,33
KBIE,40.28333333,-96.75,403
KBIF,31.85,-106.3833333,1203
KBIH,37.36666667,-118.35,1253
KBIJ,31.4,-84.9,65
KBIL,45.8,-108.55,1091
KBIS,46.76666667,-100.75,505
KBIT,41.65,-108.5833333,2160
KBIV,42.75,-86.1,208
KBIX,30.41666667,-88.91666667,10
KBJC,39.9,-105.1,1724
KBJI,47.5,-94.91666667,420
KBJJ,40.86666667,-81.88333333,343
KBJN,37.61666667,-116.2666667,1756
KBKB,31,-92.91666667,94
KBKD,32.71666667,-98.88333333,392
KBKE,44.85,-117.8166667,1024
KBKF,39.71666667,-104.75,1726
KBKL,41.53333333,-81.66666667,184
KBKN,36.75,-97.35,314
KBKS,27.2,-98.11666667,34
KBKV,28.46666667,-82.45,20
KBKW,37.8,-81.11666667,764
KBKX,44.28333333,-96.81666667,502
KBLF,37.3,-81.2,873
KBLH,33.61666667,-114.7166667,119
KBLI,48.8,-122.5333333,50
KBLM,40.16666667,-74.11666667,48
KBLU,39.28333333,-120.7,1609
KBLV,38.53333333,-89.83333333,138
KBLX,45.85,-108.6,1097
KBMG,39.15,-86.61666667,257
KBMI,40.46666667,-88.91666667,267
KBML,44.58333333,-71.18333333,345
KBMQ,30.73333333,-98.23333333,389
KBMT,30.06666667,-94.21666667,10
KBMX,33.16666667,-86.76666667,197
KBNA,36.11666667,-86.68333333,210
KBNL,33.25,-81.38333333,75
KBNO,43.6,-118.95,1264
KBNW,42.03333333,-93.83333333,354
KBNY,40.86666667,-121.6666667,957
KBOI,43.56666667,-116.2333333,875
KBOK,42.06666667,-124.2833333,140
KBOS,42.36666667,-71.01666667,6
KBOU,40,-105.3333333,1625
KBOW,27.93333333,-81.76666667,39
KBOX,41.95,-71.13333333,36
KBOY,43.46666667,-108.3,2517
KBPC,35.88333333,-101.0333333,845
KBPG,32.21666667,-101.5166667,784
KBPI,42.58333333,-110.1,2117
KBPK,36.36666667,-92.46666667,280
KBPP,46.18333333,-103.4333333,902
KBPT,29.95,-94.03333333,5
KBQK,31.25,-81.46666667,8
KBQP,32.75,-91.88333333,51
KBQX,28.5,-95.71666667,34
KBRA,44.68333333,-96.85,564
KBRD,46.4,-94.13333333,372
KBRL,40.76666667,-91.13333333,211
KBRO,25.91666667,-97.41666667,7
KBRX,41.95,-104.95,1524
KBSM,30.18333333,-97.68333333,172
KBTA,41.41666667,-96.11666667,396
KBTL,42.31666667,-85.23333333,290
KBTM,45.96666667,-112.5,1688
KBTN,45.81666667,-97.75,402
KBTP,40.76666667,-79.95,380
KBTR,30.53333333,-91.15,21
KBTV,44.46666667,-73.15,105
KBTY,36.8,-116.7333333,892
KBUB,41.78333333,-99.15,664
KBUF,42.93333333,-78.73333333,211
KBUM,38.26666667,-94.48333333,271
KBUO,33.91666667,-116.9666667,692
KBUR,34.2,-118.3666667,217
KBUU,42.68333333,-88.3,237
KBUY,36.05,-79.46666667,180
KBVD,43.9,-101.1333333,728
KBVE,29.31666667,-89.4,1
KBVI,40.76666667,-80.4,382
KBVL,40.71666667,-113.75,1286
KBVN,41.73333333,-98.05,551
KBVO,36.76666667,-96.01666667,210
KBVR,42.58333333,-108.2833333,2072
KBVS,48.46666667,-122.4166667,43
KBVT,40.56666667,-87.06666667,182
KBVU,35.95,-114.8666667,671
KBVX,35.73333333,-91.65,141
KBVY,42.58333333,-70.91666667,28
KBWD,31.8,-98.95,423
KBWG,36.96666667,-86.41666667,168
KBWI,39.16666667,-76.68333333,59
KBWP,46.25,-96.61666667,295
KBXA,30.81666667,-89.86666667,36
KBXK,33.41666667,-112.6833333,315
KBYG,44.38333333,-106.7166667,1497
KBYH,35.96666667,-89.95,78
KBYI,42.55,-113.7666667,1264
KBYS,35.28333333,-116.6166667,716
KBYX,24.6,-81.7,2
KBYY,28.96666667,-95.86666667,14
KBYZ,45.8,-108.55,1091
KBZA,32.76666667,-114.6,63
KBZN,45.78333333,-111.1666667,1361
KC04,41.91666667,-85.03333333,279
KC09,41.43333333,-88.41666667,178
KC29,43.11666667,-89.53333333,283
KC35,43.53333333,-89.98333333,276
KC52,42.68333333,-88.3,237
KC56,41.38333333,-87.68333333,241
KC73,41.83333333,-89.45,240
KC75,41.01666667,-89.38333333,173
KC85,43.53333333,-89.76666667,299
KC96,40,-105.8666667,2740
KCAC,43.83333333,-101.7666667,751
KCAD,44.26666667,-85.41666667,398
KCAE,33.93333333,-81.11666667,70
KCAG,40.5,-107.5166667,1887
KCAK,40.91666667,-81.45,377
KCAO,36.45,-103.15,1514
KCAR,46.86666667,-68.01666667,191
KCAV,42.75,-93.76666667,354
KCBE,39.61666667,-78.76666667,236
KCBF,41.26666667,-95.76666667,382
KCBG,45.56666667,-93.26666667,287
KCBK,39.43333333,-101.05,971
KCBM,33.63333333,-88.45,67
KCBW,46.03333333,-67.8,227
KCBX,43.48333333,-116.2333333,933
KCCA,35.6,-92.45,157
KCCO,33.31666667,-84.76666667,296
KCCR,38,-122.05,11
KCCU,39.48333333,-106.15,3680
KCCX,40.91666667,-78,733
KCCY,43.06666667,-92.61666667,343
KCDA,44.56666667,-72.01666667,363
KCDC,37.7,-113.1,1714
KCDD,48.26666667,-92.48333333,341
KCDH,33.61666667,-92.76666667,35
KCDJ,39.81666667,-93.58333333,234
KCDN,34.28333333,-80.56666667,92
KCDR,42.83333333,-103.1,1010
KCDS,34.43333333,-100.2833333,594
KCDW,40.88333333,-74.28333333,64
KCEC,41.76666667,-124.2166667,17
KCEF,42.2,-72.51666667,75
KCEU,34.66666667,-82.88333333,268
KCEW,30.78333333,-86.51666667,55
KCEY,36.66666667,-88.36666667,176
KCEZ,37.3,-108.6333333,1797
KCFD,30.71666667,-96.33333333,112
